request_id,bucket,idx,ttft_ms,pre_proxy_ms,p_segment_ms,gap_p_to_d_ms,d_pre_kv_ms,kv_wait_ms,post_kv_ms,kv_share_of_ttft,bytes,xfer_ms,post_ms,descs,handles,remote_request_id,identity_match,sum_segments_ms
ext1-512-000-953685,512,0,571.6361999511719,2.1767616271972656,92.26512908935547,0.28204917907714844,39.029598236083984,409.792,27.906417846679688,0.7168755233398508,29360128,137.775,1.898,1792,1,cmpl-ext1-512-000-953685-0-8d767015,True,571.4519559783935
ext1-512-001-9a2a8b,512,1,204.9276828765869,0.9741783142089844,65.7801628112793,0.4730224609375,9.432792663574219,104.929,23.1325626373291,0.5120294072870142,29360128,104.56,1.914,1792,1,cmpl-ext1-512-001-9a2a8b-0-86127ae2,True,204.7217188873291
ext1-512-002-fec344,512,2,217.08202362060547,0.8988380432128906,64.43357467651367,0.43392181396484375,8.923530578613281,117.792,24.424314498901367,0.5426151739117064,29360128,117.482,4.071,1792,1,cmpl-ext1-512-002-fec344-0-b4532932,True,216.90617961120606
ext1-512-003-b7922d,512,3,209.42378044128418,0.8831024169921875,63.56310844421387,0.42891502380371094,8.806228637695312,111.124,24.442434310913086,0.5306178685431364,29360128,110.776,5.73,1792,1,cmpl-ext1-512-003-b7922d-0-badc81aa,True,209.24778883361816
ext1-512-004-8ab423,512,4,219.15936470031738,0.9026527404785156,63.53306770324707,0.4487037658691406,9.253740310668945,120.343,24.491071701049805,0.5491118308567798,29360128,120.013,3.791,1792,1,cmpl-ext1-512-004-8ab423-0-8293de92,True,218.9722362213135
ext1-512-005-3885a1,512,5,221.05860710144043,0.8904933929443359,63.59505653381348,0.40531158447265625,8.776426315307617,123.575,23.641347885131836,0.5590146505505362,29360128,123.257,4.414,1792,1,cmpl-ext1-512-005-3885a1-0-85da4e13,True,220.8836357116699
ext1-512-006-47fa5a,512,6,218.3370590209961,0.9293556213378906,65.57273864746094,0.3979206085205078,8.917570114135742,118.387,23.958683013916016,0.5422212817688246,29360128,118.058,4.643,1792,1,cmpl-ext1-512-006-47fa5a-0-99b8c567,True,218.1632680053711
ext1-512-007-8a063d,512,7,218.96076202392578,0.8895397186279297,61.763763427734375,0.38433074951171875,9.337186813354492,121.75,24.617671966552734,0.55603569733054,29360128,121.423,4.008,1792,1,cmpl-ext1-512-007-8a063d-0-85fc312e,True,218.74249267578125
ext1-512-008-0cb8d8,512,8,225.84795951843262,0.9167194366455078,63.826560974121094,0.3771781921386719,9.527206420898438,118.237,32.79471397399902,0.5235247652983558,29360128,117.939,4.446,1792,1,cmpl-ext1-512-008-0cb8d8-0-be8a244e,True,225.67937899780273
ext1-512-009-c445cc,512,9,220.7658290863037,0.8976459503173828,66.0390853881836,0.4572868347167969,9.243249893188477,119.945,24.00946617126465,0.5433132495931245,29360128,119.654,3.304,1792,1,cmpl-ext1-512-009-c445cc-0-a237069f,True,220.5917342376709
ext1-512-010-4f88a5,512,10,216.40944480895996,0.9222030639648438,63.840389251708984,0.39768218994140625,9.906768798828125,116.117,25.03681182861328,0.5365616094182246,29360128,115.717,4.471,1792,1,cmpl-ext1-512-010-4f88a5-0-9da9d1b7,True,216.22085513305666
ext1-512-011-3c2918,512,11,216.2487506866455,0.9486675262451172,63.884735107421875,0.3833770751953125,9.398221969604492,117.211,24.183988571166992,0.542019316309689,29360128,116.853,3.935,1792,1,cmpl-ext1-512-011-3c2918-0-973f7834,True,216.0099902496338
ext1-2048-000-c1b42c,2048,0,734.9803447723389,1.1720657348632812,219.74563598632812,0.4284381866455078,25.14505386352539,462.842,25.205135345458984,0.6297338470233049,117440512,462.231,6.729,7168,1,cmpl-ext1-2048-000-c1b42c-0-b2b01e8d,True,734.5383291168213
ext1-2048-001-06fe4e,2048,1,760.887861251831,1.0991096496582031,221.8036651611328,0.5517005920410156,22.958993911743164,487.024,27.135848999023438,0.6400732943731503,117440512,486.419,6.375,7168,1,cmpl-ext1-2048-001-06fe4e-0-8eef3dc0,True,760.5733183135986
ext1-2048-002-dadae5,2048,2,753.5827159881592,1.138448715209961,220.62110900878906,0.4115104675292969,23.30493927001953,480.046,27.769088745117188,0.6370183256797822,117440512,479.217,5.911,7168,1,cmpl-ext1-2048-002-dadae5-0-b8ca0f64,True,753.2910962066651
ext1-2048-003-b59bf0,2048,3,729.8905849456787,1.0881423950195312,219.1476821899414,0.5269050598144531,19.01841163635254,464.666,25.149822235107422,0.6366241866711875,117440512,464.0,4.229,7168,1,cmpl-ext1-2048-003-b59bf0-0-89fe0524,True,729.5969635162353
ext1-2048-004-2b9610,2048,4,726.6738414764404,1.1012554168701172,221.90165519714355,0.41556358337402344,23.228168487548828,455.746,23.990869522094727,0.6271672021026998,117440512,454.532,3.786,7168,1,cmpl-ext1-2048-004-2b9610-0-9c27854a,True,726.3835122070312
ext1-2048-005-15de63,2048,5,718.799352645874,1.1913776397705078,221.89617156982422,0.4639625549316406,23.693561553955078,447.436,23.809432983398438,0.622476910076511,117440512,446.704,4.343,7168,1,cmpl-ext1-2048-005-15de63-0-ba765ed2,True,718.4905063018798
ext1-2048-006-89d227,2048,6,716.4347171783447,1.1343955993652344,221.71473503112793,0.3986358642578125,22.14789390563965,447.134,23.61011505126953,0.6241099004261309,117440512,446.435,6.392,7168,1,cmpl-ext1-2048-006-89d227-0-916c5bad,True,716.1397754516602
ext1-2048-007-cfe063,2048,7,707.2882652282715,1.188516616821289,222.27787971496582,0.4551410675048828,22.339344024658203,437.115,23.612499237060547,0.6180153432333911,117440512,436.404,5.251,7168,1,cmpl-ext1-2048-007-cfe063-0-b8caa9ff,True,706.9883806610108
ext1-2048-008-422684,2048,8,715.203046798706,1.1539459228515625,221.757173538208,0.4398822784423828,22.057771682739258,446.25,23.246049880981445,0.6239486842197375,117440512,445.573,4.404,7168,1,cmpl-ext1-2048-008-422684-0-88ae9d8a,True,714.9048233032227
ext1-2048-009-3767ec,2048,9,714.6193981170654,0.9551048278808594,220.82877159118652,0.4239082336425781,22.017240524291992,446.683,23.325443267822266,0.6250641966576264,117440512,445.978,4.877,7168,1,cmpl-ext1-2048-009-3767ec-0-810267fb,True,714.2334684448242
ext1-2048-010-860e52,2048,10,730.9737205505371,0.9591579437255859,219.68555450439453,0.4012584686279297,22.949695587158203,461.89,24.765491485595703,0.631883181316183,117440512,461.188,4.887,7168,1,cmpl-ext1-2048-010-860e52-0-aaa0e382,True,730.6511579895019
ext1-2048-011-9c358e,2048,11,749.2771148681641,0.9677410125732422,219.88344192504883,0.45990943908691406,22.066354751586914,462.65,42.9234504699707,0.6174618052780161,117440512,461.853,5.371,7168,1,cmpl-ext1-2048-011-9c358e-0-96c401be,True,748.9508975982666
ext1-8192-000-04a5e4,8192,0,2799.7004985809326,1.0106563568115234,916.3975715637207,0.5085468292236328,76.83849334716797,1770.294,34.09743309020996,0.632315492638337,469762048,1766.828,17.892,28672,1,cmpl-ext1-8192-000-04a5e4-0-861d92d4,True,2799.1467011871337
ext1-8192-001-db0d37,8192,1,2683.0973625183105,1.2183189392089844,874.5102882385254,0.45609474182128906,39.951324462890625,1727.958,38.28167915344238,0.6440161375203199,469762048,1726.1,23.081,28672,1,cmpl-ext1-8192-001-db0d37-0-a59a1a93,True,2682.3757055358888
ext1-8192-002-9464ed,8192,2,2685.373306274414,0.9942054748535156,881.1817169189453,0.5300045013427734,40.8933162689209,1723.174,38.25068473815918,0.6416888095125466,469762048,1721.293,30.663,28672,1,cmpl-ext1-8192-002-9464ed-0-a0b48d42,True,2685.0239279022217
ext1-8192-003-d6c621,8192,3,2691.5793418884277,1.3885498046875,899.8372554779053,0.9489059448242188,41.04161262512207,1712.957,34.67988967895508,0.6364133404286643,469762048,1711.382,19.805,28672,1,cmpl-ext1-8192-003-d6c621-0-9e0a1ae1,True,2690.8532135314945
ext1-8192-004-3fa530,8192,4,2701.0903358459473,1.3306140899658203,898.200511932373,0.46825408935546875,39.63875770568848,1723.7,36.93270683288574,0.6381497046303559,469762048,1721.898,23.429,28672,1,cmpl-ext1-8192-004-3fa530-0-974f9974,True,2700.2708446502684
ext1-8192-005-f431c7,8192,5,2722.4669456481934,1.070261001586914,904.686450958252,0.4558563232421875,57.012081146240234,1729.272,29.45566177368164,0.6351856733335937,469762048,1727.397,27.571,28672,1,cmpl-ext1-8192-005-f431c7-0-bbb0a62e,True,2721.952311203003
ext1-8192-006-46f9d1,8192,6,2779.189348220825,1.1417865753173828,899.8253345489502,0.47206878662109375,57.358741760253906,1790.473,29.529094696044922,0.6442428980760957,469762048,1788.553,17.564,28672,1,cmpl-ext1-8192-006-46f9d1-0-b174c2af,True,2778.8000263671875
ext1-8192-007-db7cc6,8192,7,2772.2115516662598,1.1830329895019531,899.7585773468018,0.5359649658203125,55.275678634643555,1777.239,37.49203681945801,0.6410906840539555,469762048,1776.105,26.333,28672,1,cmpl-ext1-8192-007-db7cc6-0-acf1df1a,True,2771.4842907562256
ext1-8192-008-fac577,8192,8,2738.0363941192627,1.07574462890625,901.0493755340576,0.476837158203125,38.9101505279541,1763.778,32.056331634521484,0.6441762438907793,469762048,1762.672,23.735,28672,1,cmpl-ext1-8192-008-fac577-0-83819a1c,True,2737.346439483643
ext1-8192-009-031a44,8192,9,2769.6735858917236,0.9829998016357422,899.4584083557129,0.5252361297607422,55.01222610473633,1775.441,37.86039352416992,0.6410289678335432,469762048,1773.664,27.119,28672,1,cmpl-ext1-8192-009-031a44-0-8ef4e0c5,True,2769.2802639160154
ext1-8192-010-77752d,8192,10,2816.9965744018555,1.0230541229248047,896.5167999267578,0.3445148468017578,55.89866638183594,1828.71,34.02400016784668,0.6491701184934162,469762048,1827.465,27.072,28672,1,cmpl-ext1-8192-010-77752d-0-90d28659,True,2816.517035446167
ext1-8192-011-84a5b0,8192,11,2770.6475257873535,0.9996891021728516,898.9870548248291,0.4394054412841797,39.00623321533203,1795.692,35.04180908203125,0.6481127546130958,469762048,1794.605,25.252,28672,1,cmpl-ext1-8192-011-84a5b0-0-956c6467,True,2770.1661916656494
